Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Settlement Agreements,A Banyan Residence,2011000382,11-200PH,5/25/2011
Defaults and Dismissals,A Plus Medical Equipment & Supply Inc,2015-0005232,,5/24/2016
Defaults and Dismissals,A&C Home Health Care Inc,2008007268,,8/13/2008
Defaults and Dismissals,A+ Home Aid,2015-0004382,,11/2/2015
Defaults and Dismissals,Alida Saint-Louis,2015006690,,5/26/2016
Defaults and Dismissals,Amanecer Home Corp,CI 13-0878-000,,9/25/2013
Defaults and Dismissals,AMER-CU Home Care Inc,"2015-0002083, CI 14-1791-000",,3/20/2018
Defaults and Dismissals,Ameripath SW Florida Gulf Pointe Surgery Center,2008007604,,8/13/2008
Defaults and Dismissals,Andres R Villar,CI 14-1177-000,,6/12/2014
Defaults and Dismissals,Anthony M D'Agostino MD PA,2008002465,,7/24/2008
Defaults and Dismissals,Avalon Health Care Center,NH14-132C,,7/5/2016
Defaults and Dismissals,Avante at Inverness,NH17164,,6/13/2016
Defaults and Dismissals,Avante at Inverness Inc,F1215-0661-001,,10/31/2016
Defaults and Dismissals,Avante at Lake Worth Inc,NH17190,,8/9/2016
Defaults and Dismissals,Avante at Leesburg Inc,F0715-0670-001,,4/5/2016
Settlement Agreements,Aventura Plaza Nursing and Rehabilitation Center,F0515-0010-001,15-493PH,7/5/2016
Defaults and Dismissals,Avis C Worges,2015006725,,6/2/2016
Defaults and Dismissals,Baker County,13-120CB,,3/20/2013
Defaults and Dismissals,"Baptist Hospital, Inc",2008012755; 10-0093,,11/18/2008
Defaults and Dismissals,Bartram Crossing,"NH20-112M, 2022000176",,11/28/2022
Defaults and Dismissals,Bay Pointe Nursing Pavilion,1215-0126,,8/24/2016
Defaults and Dismissals,Bay Vue Nursing and Rehabilitation Center,F1017-0541-001,,4/9/2018
Defaults and Dismissals,Bayfront Medical Center,"CI 11-2600-000, 2015-0002442",15-3112MPI,8/23/2016
Miscellaneous Orders,Bayside Care Center,2018015722,,12/18/2018
Settlement Agreements,Bayview Retirement Home,10-91-0002-ACLF,92-47PH,9/2/1993
Settlement Agreements,Behavioral Health of The Palm Beaches,2022015617,23-006PH,4/3/2023
Defaults and Dismissals,Bert Fish Medical Center Inc,2016009878,,10/28/2016
Defaults and Dismissals,Best Loving Care 1 Inc,2020-0017639,20-110PH,8/6/2020
Miscellaneous Orders,Bishops Glen Retirement Center,2017012584,,11/15/2017
Defaults and Dismissals,BLC Cypress Village LLC,NH17213,,8/1/2016
Defaults and Dismissals,BLC Cypress Village LLC,NH17200,,8/1/2016
Defaults and Dismissals,Boca Ciega Center,F1215-0157-001,16-099PH,12/13/2016
Defaults and Dismissals,Braden River Care Center,NH17181,,6/22/2016
Defaults and Dismissals,Brandon Health & Rehab Center,NH08-066,,6/21/2011
Defaults and Dismissals,"Bridgeway Center, Inc/Arts Supervised Apartments",2008006966,,7/16/2008
Miscellaneous Orders,Brookdale Atrium Way 2,2017012533,,11/13/2017
Settlement Agreements,C&C Complete Medical Care Group PA,"CI 15-0009-000, 2015-0003212",,8/23/2016
